pid_key;x;y;z;class;step
1:21.000:35.000:0.000;21;35;0;1;0
1:20.998:34.040:0.000;20.998075;34.040096;0;1;0
1:21.310:33.173:0.000;21.310381;33.173297;0;1;0
1:21.876:32.382:0.000;21.876038;32.381566;0;1;0
1:22.332:31.557:0.000;22.331729;31.557251;0;1;0
1:22.445:30.632:0.000;22.445409;30.631601;0;1;0
1:22.394:29.731:0.000;22.394197;29.730888;0;1;0
1:22.525:28.810:0.000;22.524557;28.810179;0;1;0
1:22.995:27.990:0.000;22.994523;27.990095;0;1;0
1:23.555:27.197:0.000;23.555009;27.196831;0;1;0
1:23.849:26.325:0.000;23.848872;26.324568;0;1;0
1:23.837:25.362:0.000;23.837247;25.36179;0;1;0
1:23.846:24.405:0.000;23.845945;24.405033;0;1;0
1:24.177:23.544:0.000;24.176516;23.543647;0;1;0
1:24.746:22.753:0.000;24.746275;22.753131;0;1;0
1:25.187:21.924:0.000;25.18701;21.924385;0;1;0
1:35.000:20.000:0.000;35;20;0;1;0
1:34.213:20.487:0.000;34.212658;20.487289;0;1;0
1:33.634:19.653:0.000;33.633663;19.652978;0;1;0
1:33.407:18.684:0.000;33.406597;18.683552;0;1;0
1:32.504:18.691:0.000;32.503921;18.690811;0;1;0
1:31.766:19.245:0.000;31.765937;19.244745;0;1;0
1:30.911:18.932:0.000;30.911364;18.931962;0;1;0
1:30.734:18.028:0.000;30.734103;18.028017;0;1;0
1:30.079:17.393:0.000;30.07861;17.3926;0;1;0
1:29.263:17.953:0.000;29.263187;17.952901;0;1;0
1:28.442:18.333:0.000;28.442056;18.333065;0;1;0
1:28.027:17.463:0.000;28.026975;17.462529;0;1;0
1:27.795:16.506:0.000;27.794943;16.506013;0;1;0
1:26.875:16.558:0.000;26.875134;16.557818;0;1;0
1:26.138:17.108:0.000;26.138444;17.108388;0;1;0
1:25.303:16.746:0.000;25.302795;16.746402;0;1;0
1:25.127:15.840:0.000;25.126627;15.839614;0;1;0
1:24.362:15.294:0.000;24.361528;15.294197;0;1;0
1:23.528:15.901:0.000;23.528235;15.90096;0;1;0
1:22.606:15.958:0.000;22.606285;15.958332;0;1;0
1:22.374:15.004:0.000;22.373594;15.003529;0;1;0
1:0.000:20.000:0.000;0;20;0;1;0
1:0.822:19.382:0.000;0.821635;19.381878;0;1;0
1:0.682:20.285:0.000;0.682063;20.285042;0;1;0
1:0.170:21.267:0.000;0.170396;21.266881;0;1;0
1:1.274:20.862:0.000;1.274244;20.861862;0;1;0
1:2.047:20.303:0.000;2.046508;20.302985;0;1;0
1:1.760:21.382:0.000;1.760062;21.382397;0;1;0
1:1.283:22.323:0.000;1.28258;22.323215;0;1;0
1:2.547:21.726:0.000;2.546869;21.725667;0;1;0
1:3.381:21.277:0.000;3.380829;21.276674;0;1;0
1:2.837:22.481:0.000;2.837379;22.480572;0;1;0
1:2.405:23.367:0.000;2.404921;23.367362;0;1;0
1:3.354:22.964:0.000;3.354368;22.963703;0;1;0
1:4.209:22.306:0.000;4.209396;22.305509;0;1;0
1:3.916:23.578:0.000;3.915636;23.577619;0;1;0
1:3.538:24.398:0.000;3.538298;24.398263;0;1;0
1:4.629:23.825:0.000;4.62872;23.825435;0;1;0
1:5.443:23.216:0.000;5.443204;23.215894;0;1;0
1:5.280:24.148:0.000;5.279704;24.147772;0;1;0
1:4.773:25.124:0.000;4.772714;25.123999;0;1;0
1:5.903:24.687:0.000;5.902815;24.687476;0;1;0
1:6.666:24.139:0.000;6.666324;24.139105;0;1;0
1:6.357:25.245:0.000;6.357487;25.245388;0;1;0
1:5.886:26.178:0.000;5.886445;26.178478;0;1;0
1:7.175:25.552:0.000;7.175035;25.551767;0;1;0
1:7.991:25.124:0.000;7.991156;25.12418;0;1;0
